name,team, played_matches,most_recent
Pablo Rosario,FC Porto,22,True
Pablo Rosario,Nice,1,False
Pascal Gross,Borussia Dortmund,11,False
Pascal Gross,Brighton & Hove Albion,19,True
Piero Hincapie,Bayer 04 Leverkusen,1,False
Piero Hincapie,Arsenal,25,True
Pol Lirola,Olympique de Marseille,3,False
Pol Lirola,Hellas Verona,6,True
Quinten Timber,Olympique de Marseille,15,True
Quinten Timber,Feyenoord,17,False
Rafa Obrador,Benfica,1,False
Rafa Obrador,Torino,16,True
Rafik Belghali,KV Mechelen,3,False
Rafik Belghali,Hellas Verona,26,True
Raul Moro,AFC Ajax,14,False
Raul Moro,Osasuna,14,True
Robinio Vaz,Olympique de Marseille,14,False
Robinio Vaz,AS Roma,12,True
Rosen Bozhinov,Royal Antwerp FC,16,False
Rosen Bozhinov,Pisa,9,True
Sael Kumbedi,VfL Wolfsburg,24,True
Sael Kumbedi,Olympique Lyonnais,1,False
Samuel Chukwueze,Fulham,23,True
Samuel Chukwueze,AC Milan,1,False
Seko Fofana,Stade Rennais,12,False
Seko Fofana,FC Porto,12,True
Senne Lammens,Royal Antwerp FC,4,False
Senne Lammens,Manchester United,32,True
Sheraldo Becker,1. FSV Mainz 05,14,True
Sheraldo Becker,Osasuna,9,False
Simon Adingra,Sunderland,14,False
Simon Adingra,AS Monaco,14,True
Sofiane Boufal,Royale Union Saint-Gilloise,9,False
Sofiane Boufal,Le Havre,17,True
Stanis Idumbo Muzambo,Sevilla,1,
Stanis Idumbo Muzambo,AS Monaco,8,
Stefan Posch,Como,14,False
Stefan Posch,1. FSV Mainz 05,16,True
Sydney van Hooijdonk,NAC Breda,18,False
Sydney van Hooijdonk,CF Estrela Amadora,10,True
Terem Moffi,Nice,10,False
Terem Moffi,FC Porto,9,True
Tete Morente,Lecce,16,False
Tete Morente,Elche,13,True
Tiago Gouveia,Benfica,1,False
Tiago Gouveia,Nice,15,True
Tochukwu Nnadi,Olympique de Marseille,8,True
Tochukwu Nnadi,SV Zulte Waregem,18,False
Tolu Arokodare,KRC Genk,4,False
Tolu Arokodare,Wolverhampton,33,True
Ugo Raghouber,Lille,1,
Ugo Raghouber,Levante UD,16,
Ulisses Garcia,Sassuolo,13,True
Ulisses Garcia,Olympique de Marseille,4,False
Unai Nunez,Hellas Verona,17,True
Unai Nunez,Valencia,13,False
Valentin Castellanos,Lazio,11,False
Valentin Castellanos,West Ham United,18,True
Xavi Simons,RB Leipzig,1,False
Xavi Simons,Tottenham Hotspur,28,True
Yassin Oukili,Casa Pia,8,
Yassin Oukili,Fortuna Sittard,13,
Yassir Zabiri,Stade Rennais,6,
Yassir Zabiri,Famalicão,12,
Yellu Santiago,Hellas Verona,2,
Yellu Santiago,FC Arouca,3,
Yeremy Pino,Crystal Palace,34,True
Yeremy Pino,Villarreal,2,False
Younes Namli,PEC Zwolle,13,
Younes Namli,Le Havre,12,
Zaid Romero,Club Brugge KV,1,
Zaid Romero,Getafe,15,
Ze Pedro,FC Porto,2,False
Ze Pedro,Cagliari,23,True
Zito Luvumbo,Mallorca,10,True
Zito Luvumbo,Cagliari,12,False
